# lag   <C(lag)>_blocks   <C_norm(lag)>_blocks
     315  -2.935633233563E-01  -3.209872206766E-04
     316  -2.699089548792E+00  -6.876572791281E-03
     317  -3.638728050773E+00  -9.387368761864E-03
     318  -2.989459136163E+00  -7.558506465550E-03
     319  -1.570180749013E+00  -3.622602981415E-03
     320  -5.980067039386E-01  -8.701591707756E-04
     321  -1.177574120511E+00  -2.308797022595E-03
     322  -4.001582196569E+00  -9.880687050328E-03
     323  -8.842089698733E+00  -2.303721830746E-02
     324  -1.433835404555E+01  -3.808468849786E-02
     325  -1.866585914550E+01  -4.998042996309E-02
     326  -2.051399282437E+01  -5.504621023377E-02
     327  -1.958782165086E+01  -5.239266788676E-02
     328  -1.658295345049E+01  -4.389390612990E-02
     329  -1.289610934452E+01  -3.342583832439E-02
     330  -1.009385621290E+01  -2.538914356743E-02
     331  -9.271358848975E+00  -2.288105971716E-02
     332  -1.058327724173E+01  -2.635162799158E-02
     333  -1.315264965652E+01  -3.335841988873E-02
     334  -1.541951333109E+01  -3.957511188404E-02
     335  -1.580819344196E+01  -4.068625363218E-02
     336  -1.340059251731E+01  -3.424623616852E-02
     337  -8.257109327204E+00  -2.048416651062E-02
     338  -1.343615952729E+00  -2.018104912668E-03
     339   5.823731040966E+00   1.712055156259E-02
     340   1.174624481855E+01   3.296370128620E-02
     341   1.530055470959E+01   4.250866730030E-02
     342   1.580870989300E+01   4.389240193129E-02
     343   1.309652695136E+01   3.659751744980E-02
     344   7.618909115905E+00   2.185149150288E-02
     345   4.829173305968E-01   2.698921122134E-03
     346  -6.817493908561E+00  -1.676367861148E-02
     347  -1.284326460633E+01  -3.262098405094E-02
     348  -1.664348110720E+01  -4.231852341641E-02
     349  -1.797349664276E+01  -4.527472778763E-02
     350  -1.727791901981E+01  -4.284528703462E-02
     351  -1.540642229952E+01  -3.750734070321E-02
     352  -1.320832347922E+01  -3.167518821368E-02
     353  -1.131166851553E+01  -2.703898659226E-02
     354  -9.952186946485E+00  -2.409629426336E-02
     355  -8.802555529733E+00  -2.175000509459E-02
     356  -7.303259634594E+00  -1.829944809016E-02
     357  -5.271288481633E+00  -1.313693669634E-02
     358  -3.073748907408E+00  -7.227672309820E-03
     359  -1.260798362253E+00  -2.132755643798E-03
     360  -1.883062597352E-01   1.027447526010E-03
     361   9.631310976775E-02   1.972703328143E-03
     362  -1.217649909918E-01   1.429866777131E-03
     363  -3.576214627673E-01   7.826911212356E-04
     364  -8.317776425534E-02   1.552936931101E-03
     365   9.592419037562E-01   4.475952210886E-03
     366   2.534056520986E+00   8.886532066872E-03
     367   4.143392884212E+00   1.338783049958E-02
     368   5.438377574481E+00   1.701852414284E-02
     369   6.344493404736E+00   1.960609860747E-02
     370   6.838420170467E+00   2.112641929891E-02
     371   6.480030388206E+00   2.038737368839E-02
     372   4.292742526664E+00   1.469504243248E-02
     373  -6.017057243629E-01   1.600458466036E-03
     374  -8.042531301502E+00  -1.851630891047E-02
     375  -1.640947988364E+01  -4.126162658928E-02
     376  -2.319420726268E+01  -5.974178847363E-02
