# lag   C(lag)   C_norm(lag)
     186  -2.977996679233E-05  -2.337476754316E-03
     187  -4.399270825157E-05  -3.453057339336E-03
     188  -7.932790688332E-05  -6.226573038223E-03
     189  -1.424915881541E-04  -1.118439040978E-02
     190  -2.278867384988E-04  -1.788719099562E-02
     191  -3.240383400724E-04  -2.543428247278E-02
     192  -4.196084507204E-04  -3.293573180632E-02
     193  -5.077200360117E-04  -3.985174967299E-02
     194  -5.869788379060E-04  -4.607289855118E-02
     195  -6.573735651112E-04  -5.159829216951E-02
     196  -7.140515055942E-04  -5.604703347555E-02
     197  -7.474690200764E-04  -5.867002710862E-02
     198  -7.524053845486E-04  -5.905749017347E-02
     199  -7.353175786716E-04  -5.771624122923E-02
     200  -7.110655612133E-04  -5.581266197243E-02
     201  -6.935379031427E-04  -5.443688833295E-02
     202  -6.897249089510E-04  -5.413760038043E-02
     203  -6.977295629146E-04  -5.476589834653E-02
     204  -7.055914969014E-04  -5.538299399563E-02
     205  -6.952569515685E-04  -5.457181916625E-02
     206  -6.551403687748E-04  -5.142300505249E-02
     207  -5.888184543405E-04  -4.621729295842E-02
     208  -5.114203980231E-04  -4.014219694730E-02
     209  -4.390287287179E-04  -3.446006018110E-02
     210  -3.772419934015E-04  -2.961032147809E-02
     211  -3.206683541543E-04  -2.516976694123E-02
     212  -2.625202010663E-04  -2.060562631953E-02
     213  -2.018729182064E-04  -1.584532504431E-02
     214  -1.433561890498E-04  -1.125225430330E-02
     215  -9.220573513557E-05  -7.237374171603E-03
     216  -5.142463011117E-05  -4.036400655595E-03
     217  -2.316203173748E-05  -1.818024551425E-03
     218  -1.197294553994E-05  -9.397754562814E-04
     219  -2.524786666264E-05  -1.981745037915E-03
     220  -6.828303963256E-05  -5.359643916602E-03
     221  -1.399240024709E-04  -1.098285654337E-02
     222  -2.313694415458E-04  -1.816055387314E-02
     223  -3.275509801030E-04  -2.570999515155E-02
     224  -4.120233974465E-04  -3.234036896285E-02
     225  -4.729734447417E-04  -3.712443469806E-02
     226  -5.046004918694E-04  -3.960689171302E-02
     227  -5.050918864395E-04  -3.964546205102E-02
     228  -4.776971225003E-04  -3.749520364595E-02
     229  -4.322609282658E-04  -3.392884480585E-02
     230  -3.821470232603E-04  -2.999532503951E-02
     231  -3.398430631787E-04  -2.667482021841E-02
     232  -3.153215168525E-04  -2.475008521393E-02
     233  -3.150324558523E-04  -2.472739635826E-02
     234  -3.409742057076E-04  -2.676360538683E-02
     235  -3.921348203928E-04  -3.077928305353E-02
     236  -4.639867246223E-04  -3.641905280415E-02
     237  -5.444163360042E-04  -4.273210037317E-02
     238  -6.124593510253E-04  -4.807290437791E-02
     239  -6.446357689149E-04  -5.059848237397E-02
     240  -6.262922186258E-04  -4.915866806218E-02
     241  -5.609081468550E-04  -4.402656872396E-02
     242  -4.691208827826E-04  -3.682204100882E-02
     243  -3.786016695623E-04  -2.971704461319E-02
     244  -3.133171082072E-04  -2.459275600510E-02
     245  -2.875566070425E-04  -2.257077347329E-02
     246  -3.044511344887E-04  -2.389685168741E-02
     247  -3.553721127466E-04  -2.789371991144E-02
     248  -4.196473390442E-04  -3.293878421244E-02
     249  -4.704594756322E-04  -3.692710928144E-02
     250  -4.880586881576E-04  -3.830849934340E-02
     251  -4.699007987053E-04  -3.688325784470E-02
     252  -4.289435211542E-04  -3.366845626807E-02
     253  -3.839210685758E-04  -3.013457266578E-02
     254  -3.485310914408E-04  -2.735675731542E-02
     255  -3.269799615556E-04  -2.566517500148E-02
     256  -3.181969735907E-04  -2.497578436701E-02
     257  -3.228988630907E-04  -2.534484311997E-02
     258  -3.455213465283E-04  -2.712051767089E-02
     259  -3.877999406229E-04  -3.043903147550E-02
     260  -4.401956310637E-04  -3.455165219418E-02
     261  -4.813160275430E-04  -3.777925723379E-02
     262  -4.882311921918E-04  -3.832203945822E-02
     263  -4.489939642953E-04  -3.524224730293E-02
     264  -3.683957786290E-04  -2.891596807136E-02
     265  -2.657457845285E-04  -2.085880747365E-02
     266  -1.658700544712E-04  -1.301940325412E-02
     267  -8.840878993449E-05  -6.939345929771E-03
     268  -4.264436945666E-05  -3.347224092039E-03
     269  -2.908002718109E-05  -2.282537385776E-03
     270  -4.196560015077E-05  -3.293946414292E-03
     271  -6.880923478647E-05  -5.400945807537E-03
     272  -9.185535791397E-05  -7.209872508607E-03
     273  -9.413120317137E-05  -7.388507206983E-03
