# lag   <C(lag)>_blocks   <C_norm(lag)>_blocks
     215  -5.299778906389E-04  -4.065053872965E-02
     216  -4.388077513025E-04  -3.371388743237E-02
     217  -3.674552164532E-04  -2.845486679447E-02
     218  -3.177508833359E-04  -2.496847155859E-02
     219  -2.907535720397E-04  -2.334908688580E-02
     220  -2.861057256578E-04  -2.362025615350E-02
     221  -2.993341511335E-04  -2.546690177038E-02
     222  -3.214695265890E-04  -2.814438563833E-02
     223  -3.419699538096E-04  -3.068336073457E-02
     224  -3.533585396770E-04  -3.230621427889E-02
     225  -3.538260172769E-04  -3.274377206085E-02
     226  -3.451977547279E-04  -3.215279448583E-02
     227  -3.303687328452E-04  -3.090965796618E-02
     228  -3.141216657759E-04  -2.960726902000E-02
     229  -3.035585188026E-04  -2.897091931700E-02
     230  -3.050058982373E-04  -2.950861518154E-02
     231  -3.211614462277E-04  -3.128584910710E-02
     232  -3.527166217721E-04  -3.415340535751E-02
     233  -3.987653761336E-04  -3.791470834231E-02
     234  -4.549092927675E-04  -4.225455951979E-02
     235  -5.143621419757E-04  -4.678571845485E-02
     236  -5.694639284392E-04  -5.106230196328E-02
     237  -6.111474167788E-04  -5.444775419511E-02
     238  -6.289309337331E-04  -5.607057182995E-02
     239  -6.123971951682E-04  -5.496588730830E-02
     240  -5.554333094722E-04  -5.050026021148E-02
     241  -4.637638369255E-04  -4.304592103661E-02
     242  -3.571168191872E-04  -3.417298552683E-02
     243  -2.615611101819E-04  -2.601784280082E-02
     244  -1.978926044047E-04  -2.031373400039E-02
     245  -1.744635351617E-04  -1.777199578117E-02
     246  -1.890687370482E-04  -1.822746917291E-02
     247  -2.330041909431E-04  -2.101141641243E-02
     248  -2.908784195172E-04  -2.497104045167E-02
     249  -3.439980600623E-04  -2.870912455798E-02
     250  -3.784683933129E-04  -3.119757736713E-02
     251  -3.918418935763E-04  -3.229168954127E-02
     252  -3.913188973368E-04  -3.256948833714E-02
     253  -3.856249321228E-04  -3.266934268948E-02
     254  -3.774595692047E-04  -3.270402034581E-02
     255  -3.626169379183E-04  -3.224144778811E-02
     256  -3.379622210213E-04  -3.097550048475E-02
     257  -3.105585377463E-04  -2.944069485199E-02
     258  -2.962886652772E-04  -2.886981820613E-02
     259  -3.082186779132E-04  -3.025206114138E-02
     260  -3.452735637198E-04  -3.344940446647E-02
     261  -3.915655974372E-04  -3.718106289228E-02
     262  -4.260846885786E-04  -3.982113525181E-02
     263  -4.332886936826E-04  -4.022709840754E-02
     264  -4.092873092214E-04  -3.816250680780E-02
     265  -3.616395222507E-04  -3.420865638015E-02
     266  -3.031665785637E-04  -2.926490022221E-02
     267  -2.463000900988E-04  -2.416331986294E-02
     268  -2.017558448951E-04  -1.965854198063E-02
     269  -1.784630910011E-04  -1.648733676297E-02
     270  -1.795878407355E-04  -1.505712751166E-02
     271  -1.971205064449E-04  -1.497199279448E-02
     272  -2.144028473681E-04  -1.515527141053E-02
     273  -2.154749237670E-04  -1.451876898238E-02
     274  -1.898228034533E-04  -1.229983051452E-02
     275  -1.361547605565E-04  -8.338725862758E-03
     276  -6.641005219630E-05  -3.430283058301E-03
     277  -9.633629169143E-07   9.574995624485E-04
     278   4.543128918194E-05   3.719951430815E-03
     279   7.179346288125E-05   4.787249515541E-03
     280   8.830527553783E-05   5.006273580479E-03
     281   1.095593766136E-04   5.663572299303E-03
     282   1.480710143642E-04   7.928276653679E-03
     283   2.109495102290E-04   1.247626305276E-02
     284   2.959101741940E-04   1.912646472152E-02
     285   3.892721422780E-04   2.671956501904E-02
     286   4.725504634331E-04   3.369003464963E-02
     287   5.322368400461E-04   3.888642435340E-02
     288   5.639309262601E-04   4.192285542795E-02
     289   5.697542716705E-04   4.295961074643E-02
     290   5.509636802401E-04   4.209449251661E-02
     291   5.063960682839E-04   3.920550075973E-02
     292   4.387929836751E-04   3.442779837203E-02
     293   3.579190839641E-04   2.843333681238E-02
     294   2.757291221817E-04   2.212082449705E-02
     295   1.994083368056E-04   1.611721322876E-02
     296   1.324231506705E-04   1.083644621510E-02
     297   8.039136114054E-05   6.854372507622E-03
     298   4.947687543314E-05   4.703856010424E-03
     299   4.114257605558E-05   4.436453471938E-03
     300   4.769222325807E-05   5.311011444554E-03
     301   5.324522708257E-05   5.941003461657E-03
     302   4.170893859173E-05   4.985733032494E-03
     303   5.729825610300E-06   1.892650378531E-03
     304  -4.839003329087E-05  -2.727982465519E-03
     305  -1.025853996131E-04  -7.307450542553E-03
     306  -1.347444505594E-04  -9.984873880009E-03
     307  -1.281336576861E-04  -9.385783028422E-03
     308  -7.804492959958E-05  -5.153904533198E-03
     309   6.584751440091E-06   1.941606401983E-03
     310   1.053452615234E-04   1.022286110936E-02
     311   1.930544234846E-04   1.765452581778E-02
     312   2.492363380338E-04   2.258690733219E-02
     313   2.656288897821E-04   2.434454801635E-02
     314   2.473405730064E-04   2.331729224266E-02
     315   2.092997725745E-04   2.067690273583E-02
     316   1.704105777757E-04   1.790586335528E-02
     317   1.454926905400E-04   1.616404578383E-02
     318   1.363770661036E-04   1.561842102307E-02
     319   1.304402492271E-04   1.534079424239E-02
     320   1.094220312822E-04   1.395153489364E-02
     321   5.763381924032E-05   1.019988428835E-02
     322  -3.229903472506E-05   3.404429557909E-03
     323  -1.526011124941E-04  -5.957185359339E-03
     324  -2.785992146242E-04  -1.603500318184E-02
     325  -3.784953942137E-04  -2.430682788593E-02
     326  -4.276235200012E-04  -2.868219604007E-02
     327  -4.196596758517E-04  -2.844973560532E-02
     328  -3.685474760679E-04  -2.455030675795E-02
     329  -3.016124270834E-04  -1.911997319325E-02
     330  -2.472575680611E-04  -1.449980217874E-02
     331  -2.241727133457E-04  -1.229304057982E-02
     332  -2.353173109585E-04  -1.282542223740E-02
     333  -2.664082054236E-04  -1.502599550252E-02
     334  -2.904855751796E-04  -1.681075928085E-02
     335  -2.798655851026E-04  -1.603189839565E-02
     336  -2.200718294470E-04  -1.157054723759E-02
     337  -1.164397893134E-04  -3.849752393748E-03
     338   8.527279998445E-06   5.383419932905E-03
     339   1.238389425858E-04   1.374972765904E-02
     340   2.011900028034E-04   1.910393484130E-02
     341   2.198583322108E-04   1.989086119084E-02
     342   1.670776978591E-04   1.514089008282E-02
     343   3.974513734263E-05   4.595275853782E-03
     344  -1.516411331413E-04  -1.096015905955E-02
     345  -3.810142625855E-04  -2.950498640132E-02
     346  -6.139660170057E-04  -4.832438131046E-02
     347  -8.190711171124E-04  -6.490943687993E-02
     348  -9.756602116851E-04  -7.760288733642E-02
     349  -1.076076429810E-03  -8.578608383303E-02
     350  -1.123371996809E-03  -8.969197083871E-02
     351  -1.127407902212E-03  -9.009360243706E-02
     352  -1.101783112997E-03  -8.806274594842E-02
     353  -1.059227632075E-03  -8.461272079681E-02
     354  -1.006279680639E-03  -8.027832825509E-02
     355  -9.425465319940E-04  -7.504641339251E-02
     356  -8.654069556416E-04  -6.872745298046E-02
     357  -7.770085186797E-04  -6.152720955650E-02
     358  -6.864217818581E-04  -5.423142745180E-02
     359  -6.047731523917E-04  -4.781420216321E-02
     360  -5.403587682591E-04  -4.301752328665E-02
     361  -4.975425661891E-04  -4.020264126819E-02
     362  -4.744850385320E-04  -3.913049043507E-02
     363  -4.614468494674E-04  -3.885108113560E-02
     364  -4.441087598431E-04  -3.803564360856E-02
     365  -4.132563387419E-04  -3.579914886566E-02
     366  -3.725905634606E-04  -3.234766146487E-02
     367  -3.343638408880E-04  -2.865793094367E-02
     368  -3.080319189898E-04  -2.558305529360E-02
     369  -2.974267448489E-04  -2.358593791853E-02
     370  -3.057607178505E-04  -2.309649923955E-02
     371  -3.409471322936E-04  -2.492155664251E-02
     372  -4.166367665669E-04  -3.029983059012E-02
     373  -5.438984722783E-04  -4.019582269686E-02
     374  -7.147602773275E-04  -5.396780792852E-02
     375  -8.942656142422E-04  -6.874269943868E-02
     376  -1.035223004720E-03  -8.060393512014E-02
     377  -1.102967557335E-03  -8.660223902338E-02
     378  -1.091002213585E-03  -8.606607484100E-02
     379  -1.017375729228E-03  -8.036365890559E-02
     380  -9.084172567373E-04  -7.163087749278E-02
     381  -7.898546361187E-04  -6.204154844370E-02
     382  -6.828695387494E-04  -5.343426450924E-02
     383  -6.000425915074E-04  -4.690652211642E-02
     384  -5.423299010066E-04  -4.254022136351E-02
     385  -4.993992004180E-04  -3.947751199033E-02
     386  -4.534678978561E-04  -3.627900162320E-02
     387  -3.902523854067E-04  -3.179213069205E-02
     388  -3.140170802583E-04  -2.632819186731E-02
     389  -2.495951056113E-04  -2.180655091688E-02
     390  -2.235315705555E-04  -2.022746884173E-02
     391  -2.398218096153E-04  -2.174813446211E-02
     392  -2.771844811108E-04  -2.452877483202E-02
     393  -3.062229221989E-04  -2.619932145982E-02
     394  -3.050780224802E-04  -2.516990254727E-02
     395  -2.658172373844E-04  -2.107894822774E-02
     396  -1.931746460783E-04  -1.455003513088E-02
     397  -1.021855439576E-04  -6.890799966725E-03
     398  -1.507571605825E-05   1.738131787921E-04
     399   4.794624838815E-05   5.172005069156E-03
     400   7.801905177822E-05   7.537986881170E-03
     401   7.950138466842E-05   7.679922930993E-03
     402   6.445759841604E-05   6.501233219721E-03
     403   4.456146623435E-05   4.801187513954E-03
     404   2.577215161024E-05   2.958643887371E-03
     405   7.194031805205E-06   9.180159967573E-04
     406  -1.667153216205E-05  -1.659645606750E-03
     407  -5.155170048446E-05  -5.130035983024E-03
     408  -9.750559870997E-05  -9.427632717577E-03
     409  -1.446150231423E-04  -1.369659822931E-02
     410  -1.751851699688E-04  -1.643965214250E-02
     411  -1.704357161227E-04  -1.607129788415E-02
     412  -1.159567177930E-04  -1.141395931955E-02
     413  -2.799614535186E-06  -1.834645874476E-03
     414   1.720359959562E-04   1.272665135528E-02
     415   3.979101904073E-04   3.122156948988E-02
     416   6.418293387361E-04   5.090268952425E-02
     417   8.541819921661E-04   6.784049042105E-02
     418   9.889048808314E-04   7.851787928259E-02
     419   1.024492795826E-03   8.140993164040E-02
     420   9.721574266363E-04   7.749703245500E-02
     421   8.681345701465E-04   6.957514903603E-02
     422   7.569224575591E-04   6.097014334759E-02
     423   6.744891691418E-04   5.434471916515E-02
     424   6.436939584997E-04   5.144709990225E-02
     425   6.767188983889E-04   5.332714928300E-02
     426   7.716147933226E-04   6.001259278904E-02
     427   9.082498994494E-04   7.009125865594E-02
     428   1.051223200892E-03   8.086825340531E-02
     429   1.162277660477E-03   8.934149695908E-02
     430   1.217079709920E-03   9.356994615554E-02
     431   1.213105634337E-03   9.332333793054E-02
     432   1.160911405728E-03   8.938773968091E-02
     433   1.070392513242E-03   8.247939594839E-02
     434   9.460064051782E-04   7.288799256642E-02
     435   7.901944798347E-04   6.078742338362E-02
     436   6.097786668685E-04   4.675777038828E-02
     437   4.177751301224E-04   3.189608404897E-02
     438   2.291573116520E-04   1.743250420471E-02
     439   5.834458344071E-05   4.519806566835E-03
     440  -7.779344903813E-05  -5.512985500569E-03
     441  -1.596989883566E-04  -1.115181071664E-02
     442  -1.718457838903E-04  -1.127362275690E-02
     443  -1.103030413416E-04  -5.758082696774E-03
     444   1.338091322193E-05   4.277093498942E-03
     445   1.743618479172E-04   1.675218519136E-02
     446   3.423171026391E-04   2.930458112011E-02
     447   4.905513177296E-04   4.000881106194E-02
     448   6.024565799747E-04   4.783146163999E-02
     449   6.710731519932E-04   5.251751274855E-02
     450   6.942406674412E-04   5.412235235433E-02
     451   6.706086361323E-04   5.262129578662E-02
     452   6.001177832043E-04   4.790836537295E-02
     453   4.857964834740E-04   3.996774773565E-02
     454   3.342641893789E-04   2.901135340524E-02
     455   1.560459175561E-04   1.562763681510E-02
     456  -3.261366930818E-05   1.020845964824E-03
     457  -2.069919116576E-04  -1.276196667304E-02
     458  -3.364890029736E-04  -2.311389072259E-02
     459  -3.957629602434E-04  -2.784432308398E-02
     460  -3.777496059708E-04  -2.627912868346E-02
     461  -2.978622209375E-04  -1.963578914220E-02
     462  -1.853207357320E-04  -1.033387886942E-02
     463  -6.830974108870E-05  -7.468815890684E-04
     464   3.495953049077E-05   7.606268710169E-03
     465   1.177189941444E-04   1.419515422842E-02
     466   1.839690707904E-04   1.934553533575E-02
     467   2.449237210343E-04   2.389631352939E-02
     468   3.084977879648E-04   2.840672515474E-02
     469   3.722499058380E-04   3.268471353174E-02
     470   4.262189343896E-04   3.606800280888E-02
     471   4.612796164845E-04   3.804550717998E-02
     472   4.741520139937E-04   3.854490684388E-02
     473   4.699378442532E-04   3.804010766863E-02
     474   4.620413054634E-04   3.752957948292E-02
     475   4.617821958408E-04   3.778142445701E-02
     476   4.681233620698E-04   3.858564488274E-02
     477   4.711919403959E-04   3.904252060770E-02
     478   4.600684354663E-04   3.821356307456E-02
     479   4.292514635691E-04   3.569816533594E-02
     480   3.844426662363E-04   3.208607900498E-02
     481   3.397470142652E-04   2.865024969188E-02
     482   3.064499587293E-04   2.638250485878E-02
     483   2.870437224049E-04   2.549638515289E-02
     484   2.786026947223E-04   2.569681834972E-02
     485   2.779930577941E-04   2.658972978876E-02
     486   2.823896304432E-04   2.773619594955E-02
     487   2.863818666831E-04   2.848235840645E-02
     488   2.792319276012E-04   2.783629333330E-02
     489   2.469075748592E-04   2.470363591829E-02
     490   1.802328187629E-04   1.853034887629E-02
     491   8.318243261242E-05   9.877274254693E-03
     492  -2.453367937303E-05   5.118118572699E-04
     493  -1.153904560246E-04  -7.286629529640E-03
     494  -1.645020561335E-04  -1.154815730125E-02
     495  -1.515729645111E-04  -1.071493950944E-02
     496  -6.151690078716E-05  -3.627774841439E-03
     497   1.089930602782E-04   9.973691059902E-03
     498   3.446361984990E-04   2.887040440440E-02
     499   6.107725509548E-04   5.029118766518E-02
     500   8.631227044761E-04   7.068983089248E-02
     501   1.060486205098E-03   8.675888385761E-02
     502   1.173908619587E-03   9.616183253944E-02
     503   1.195542593761E-03   9.824185880468E-02
     504   1.141039784234E-03   9.421765955280E-02
     505   1.039798754137E-03   8.641513197066E-02
     506   9.250024396692E-04   7.745963361113E-02
     507   8.258948107227E-04   6.964838666138E-02
     508   7.605470081019E-04   6.437124698320E-02
     509   7.322866955471E-04   6.183233971800E-02
     510   7.287637930490E-04   6.101414060163E-02
     511   7.217166733724E-04   5.971660757647E-02
     512   6.748780663114E-04   5.519869771017E-02
     513   5.621609769291E-04   4.556696504377E-02
     514   3.818586429715E-04   3.081567538616E-02
     515   1.549199576188E-04   1.262923764510E-02
     516  -8.817509224883E-05  -6.667915775577E-03
     517  -3.191916862694E-04  -2.499757957959E-02
     518  -5.158836848495E-04  -4.074189184340E-02
     519  -6.614067980728E-04  -5.263936899593E-02
     520  -7.451740976527E-04  -5.985247089259E-02
     521  -7.676510739930E-04  -6.235959926628E-02
     522  -7.449295779953E-04  -6.132817553991E-02
     523  -7.034515905640E-04  -5.875008394662E-02
     524  -6.636366626813E-04  -5.621641493698E-02
     525  -6.278336056846E-04  -5.398413871621E-02
     526  -5.841004055834E-04  -5.122154119469E-02
     527  -5.205313594028E-04  -4.705588957695E-02
     528  -4.343590270856E-04  -4.123426046823E-02
     529  -3.283290310438E-04  -3.382279784293E-02
     530  -2.029862727218E-04  -2.464256966100E-02
     531  -5.681264808942E-05  -1.338681393307E-02
     532   1.041847326967E-04  -4.780525057602E-04
     533   2.604860697698E-04   1.244553830794E-02
     534   3.849414578081E-04   2.308219150897E-02
     535   4.542765146889E-04   2.948222612308E-02
     536   4.585141967979E-04   3.082647358762E-02
     537   4.068815136316E-04   2.784183829553E-02
     538   3.284685906682E-04   2.275896481199E-02
     539   2.617113948143E-04   1.845141543239E-02
     540   2.381164166140E-04   1.721343967176E-02
     541   2.676532132736E-04   1.970805221040E-02
     542   3.350575187091E-04   2.474416090347E-02
     543   4.111797084857E-04   3.017146696837E-02
     544   4.677959107139E-04   3.399533288851E-02
     545   4.876385311400E-04   3.507919678315E-02
     546   4.667001939418E-04   3.322565388911E-02
     547   4.124724026350E-04   2.899455194738E-02
     548   3.427481389600E-04   2.366816729414E-02
     549   2.828780673164E-04   1.913840469418E-02
     550   2.562173458149E-04   1.720869072564E-02
     551   2.718746656816E-04   1.862265184397E-02
     552   3.219418692814E-04   2.280112214800E-02
     553   3.899490180352E-04   2.845923900595E-02
     554   4.601328152819E-04   3.432754315042E-02
     555   5.204545011326E-04   3.943007582408E-02
     556   5.624576110732E-04   4.310972964808E-02
     557   5.812115642391E-04   4.499202166567E-02
     558   5.755111597959E-04   4.493357841002E-02
     559   5.452489582952E-04   4.282029398892E-02
     560   4.873345789291E-04   3.832049837696E-02
     561   3.997070884539E-04   3.122539240248E-02
     562   2.826196751824E-04   2.155181590060E-02
     563   1.380474068730E-04   9.502051938981E-03
     564  -2.523088174864E-05  -4.137953403973E-03
     565  -1.889115147581E-04  -1.777924034664E-02
     566  -3.307379529584E-04  -2.948333168505E-02
     567  -4.318453794532E-04  -3.760096819287E-02
     568  -4.796049953039E-04  -4.106122619736E-02
     569  -4.673282361622E-04  -3.935720801591E-02
     570  -3.945976057744E-04  -3.255805829096E-02
     571  -2.708747518874E-04  -2.158359825105E-02
     572  -1.187314395608E-04  -8.419256158851E-03
     573   3.232644100669E-05   4.419976469722E-03
     574   1.567584292847E-04   1.477882008789E-02
     575   2.394688898362E-04   2.139828525048E-02
     576   2.808565527577E-04   2.434058048505E-02
     577   2.994801581153E-04   2.519644868323E-02
