# lag   C(lag)   C_norm(lag)
     221   2.881819472921E+01   7.523107774777E-02
     222   2.588459967762E+01   6.757280770413E-02
     223   2.264543875952E+01   5.911684544982E-02
     224   1.985813601201E+01   5.184047745819E-02
     225   1.804123892850E+01   4.709739320070E-02
     226   1.739621356147E+01   4.541352805953E-02
     227   1.800426583236E+01   4.700087341880E-02
     228   1.980557635854E+01   5.170326832994E-02
     229   2.246097336776E+01   5.863529098883E-02
     230   2.543747515954E+01   6.640557083523E-02
     231   2.819194296261E+01   7.359622185948E-02
     232   3.025017710347E+01   7.896932639046E-02
     233   3.126897468064E+01   8.162893919610E-02
     234   3.106785266659E+01   8.110390194038E-02
     235   2.955085171324E+01   7.714370881457E-02
     236   2.676781710354E+01   6.987848297151E-02
     237   2.319704517764E+01   6.055683659839E-02
     238   1.990025377460E+01   5.195042760259E-02
     239   1.817413681614E+01   4.744432857994E-02
     240   1.880763084420E+01   4.909809068841E-02
     241   2.156677068481E+01   5.630093825804E-02
     242   2.534413926166E+01   6.616191365075E-02
     243   2.875166003030E+01   7.505738619098E-02
     244   3.067214479596E+01   8.007089033571E-02
     245   3.051057989334E+01   7.964911853965E-02
     246   2.818403145826E+01   7.357556855331E-02
     247   2.413384118388E+01   6.300238094429E-02
     248   1.942811382665E+01   5.071788692940E-02
     249   1.552620000266E+01   4.053178106759E-02
     250   1.356197049485E+01   3.540407948165E-02
     251   1.370714097811E+01   3.578305297447E-02
     252   1.518714616191E+01   3.964666712850E-02
     253   1.688068746142E+01   4.406772605914E-02
     254   1.800370398875E+01   4.699940670304E-02
     255   1.837895136754E+01   4.797900535568E-02
     256   1.815397627397E+01   4.739169865883E-02
     257   1.731707001805E+01   4.520692059767E-02
     258   1.555130978667E+01   4.059733118727E-02
     259   1.264551074065E+01   3.301162375469E-02
     260   9.046442381657E+00   2.361610838396E-02
     261   5.918089907811E+00   1.544941611216E-02
     262   4.545079670359E+00   1.186511664813E-02
     263   5.576568361676E+00   1.455786012709E-02
     264   8.688979028228E+00   2.268293565796E-02
     265   1.277499608202E+01   3.334965054211E-02
     266   1.649431960974E+01   4.305909695652E-02
     267   1.888816540229E+01   4.930832945106E-02
     268   1.960509415468E+01   5.117990132491E-02
     269   1.869032264049E+01   4.879185281764E-02
     270   1.642058212315E+01   4.286660222745E-02
     271   1.342909048605E+01   3.505719077585E-02
     272   1.069501205187E+01   2.791976703425E-02
     273   9.166666389568E+00   2.392995808105E-02
     274   9.373925706419E+00   2.447101701713E-02
     275   1.119113402898E+01   2.921491377691E-02
     276   1.374331978245E+01   3.587749922510E-02
     277   1.571700275118E+01   4.102987945798E-02
     278   1.607788078610E+01   4.197196634986E-02
     279   1.468631570470E+01   3.833922870570E-02
     280   1.238438825346E+01   3.232995280617E-02
     281   1.057785445685E+01   2.761392233362E-02
     282   1.055754177064E+01   2.756089523425E-02
     283   1.287885839266E+01   3.362078735829E-02
     284   1.703069031535E+01   4.445931465351E-02
     285   2.164296426670E+01   5.649984472448E-02
     286   2.527717257325E+01   6.598709436766E-02
     287   2.723332792698E+01   7.109371804365E-02
     288   2.768844333340E+01   7.228181545385E-02
