# lag   C(lag)   C_norm(lag)
     333   3.819150694253E-06   5.608152743402E-03
     334  -2.104142866329E-07  -3.089785015833E-04
     335  -1.471378865859E-06  -2.160615823714E-03
     336   1.261754544407E-06   1.852797330141E-03
     337   7.958727561782E-06   1.168682866501E-02
     338   1.737577125369E-05   2.551509144997E-02
     339   2.773520990132E-05   4.072719459092E-02
     340   3.746026370063E-05   5.500774843930E-02
     341   4.528540020213E-05   6.649840807847E-02
     342   4.995405716490E-05   7.335400070884E-02
     343   5.018688418900E-05   7.369589073059E-02
     344   4.527117285153E-05   6.647751622013E-02
     345   3.575377801794E-05   5.250189487940E-02
     346   2.353196352595E-05   3.455502449910E-02
     347   1.128181933107E-05   1.656655395329E-02
     348   1.538745709465E-06   2.259539270057E-03
     349  -4.092243250927E-06  -6.009169852576E-03
     350  -5.272355506952E-06  -7.742081255133E-03
     351  -2.984441012711E-06  -4.382440598153E-03
     352   9.466931730360E-07   1.390151984186E-03
     353   4.835492153539E-06   7.100578311135E-03
     354   7.957671379943E-06   1.168527773666E-02
     355   1.066563552476E-05   1.566173160392E-02
     356   1.369046451826E-05   2.010347909604E-02
     357   1.724185083899E-05   2.531843879046E-02
     358   2.077208911356E-05   3.050234407448E-02
     359   2.353774222330E-05   3.456351010755E-02
     360   2.525705945190E-05   3.708820588530E-02
     361   2.622461108808E-05   3.850898704772E-02
     362   2.696202645358E-05   3.959182936951E-02
     363   2.794818266899E-05   4.103993004101E-02
     364   2.944870153963E-05   4.324333590125E-02
     365   3.115355477857E-05   4.574679233294E-02
     366   3.212327335915E-05   4.717075549998E-02
     367   3.152121138240E-05   4.628667005876E-02
     368   2.954164889861E-05   4.337982252564E-02
     369   2.744610135554E-05   4.030265913424E-02
     370   2.646361821686E-05   3.885995211620E-02
     371   2.646691655236E-05   3.886479548866E-02
     372   2.565977362727E-05   3.767956317602E-02
     373   2.180615461856E-05   3.202079615008E-02
     374   1.415367871497E-05   2.078367639016E-02
     375   4.390937798249E-06   6.447781674709E-03
     376  -4.198173108191E-06  -6.164720357697E-03
     377  -8.722159225150E-06  -1.280787408062E-02
     378  -8.252827762818E-06  -1.211869401449E-02
     379  -3.862788611806E-06  -5.672231939703E-03
     380   2.424112740244E-06   3.559638150695E-03
     381   8.545342941346E-06   1.254823187049E-02
     382   1.288485824296E-05   1.892050324496E-02
     383   1.475962600569E-05   2.167346714021E-02
     384   1.465221596264E-05   2.151574308692E-02
     385   1.369291621890E-05   2.010707924507E-02
     386   1.296712214608E-05   1.904130196984E-02
     387   1.317819666410E-05   1.935124997452E-02
     388   1.421149411644E-05   2.086857421910E-02
     389   1.472148710653E-05   2.161746286358E-02
     390   1.279427516150E-05   1.878748839493E-02
     391   7.553844072809E-06   1.109228589066E-02
     392   4.977106661190E-08   7.308529202096E-05
     393  -7.426571347936E-06  -1.090539489360E-02
     394  -1.278180465686E-05  -1.876917634066E-02
     395  -1.503757884957E-05  -2.208162123748E-02
     396  -1.442522198636E-05  -2.118241848344E-02
     397  -1.227633316857E-05  -1.802692720186E-02
     398  -1.073355040659E-05  -1.576145980565E-02
     399  -1.173235880871E-05  -1.722813931869E-02
     400  -1.574133333729E-05  -2.311503494040E-02
     401  -2.154851336434E-05  -3.164246818600E-02
     402  -2.718656373027E-05  -3.992154648336E-02
     403  -3.085640857898E-05  -4.531045414996E-02
     404  -3.132114681551E-05  -4.599288938879E-02
     405  -2.832446024268E-05  -4.159246705149E-02
     406  -2.305682844317E-05  -3.385732222672E-02
     407  -1.781501954920E-05  -2.616009651280E-02
     408  -1.465260850508E-05  -2.151631950774E-02
     409  -1.417453180498E-05  -2.081429767832E-02
     410  -1.544345284434E-05  -2.267761849955E-02
     411  -1.666749130270E-05  -2.447503242422E-02
     412  -1.595635771076E-05  -2.343078302853E-02
     413  -1.186244105743E-05  -1.741915590285E-02
     414  -3.945439701561E-06  -5.793599220772E-03
     415   6.634561284642E-06   9.742384118469E-03
     416   1.707370314918E-05   2.507152579765E-02
     417   2.391597897452E-05   3.511892403171E-02
     418   2.472800726845E-05   3.631133016303E-02
     419   1.931348117016E-05   2.836048144736E-02
     420   9.550944055424E-06   1.402488600073E-02
     421  -1.872434762277E-06  -2.749538049051E-03
     422  -1.269245050072E-05  -1.863796608058E-02
     423  -2.147592013372E-05  -3.153587015989E-02
     424  -2.729513589283E-05  -4.008097702698E-02
     425  -2.935604247204E-05  -4.310727261240E-02
     426  -2.719845626218E-05  -3.993900982555E-02
     427  -2.137139057144E-05  -3.138237588894E-02
     428  -1.375437720183E-05  -2.019733035261E-02
     429  -6.680506466064E-06  -9.809851368617E-03
     430  -1.416190459131E-06  -2.079575550791E-03
     431   2.378611177738E-06   3.492822323558E-03
     432   5.576326435344E-06   8.188441069774E-03
     433   8.277509870111E-06   1.215493794378E-02
     434   9.570469423960E-06   1.405355762379E-02
     435   8.146524757254E-06   1.196259556747E-02
     436   3.234870377926E-06   4.750178413178E-03
     437  -4.799207941102E-06  -7.047297510818E-03
     438  -1.467990212455E-05  -2.155639825801E-02
     439  -2.470896874580E-05  -3.628337343873E-02
     440  -3.272308044937E-05  -4.805152979976E-02
     441  -3.624966453059E-05  -5.323006915923E-02
     442  -3.375898487935E-05  -4.957268220667E-02
     443  -2.585654729878E-05  -3.796851139882E-02
     444  -1.499168426105E-05  -2.201422827942E-02
     445  -4.144615246223E-06  -6.086074424460E-03
     446   4.317304347089E-06   6.339656158282E-03
     447   9.290021778634E-06   1.364174008701E-02
