# lag   C(lag)   C_norm(lag)
     157   2.112249747280E-04   2.152294800089E-01
     158   2.090114308452E-04   2.129739706902E-01
     159   2.073508592492E-04   2.112819171743E-01
     160   2.048989742753E-04   2.087835481786E-01
     161   2.023619121693E-04   2.061983872216E-01
     162   2.002692591789E-04   2.040660607031E-01
     163   1.988219808460E-04   2.025913441673E-01
     164   1.973315858991E-04   2.010726935918E-01
     165   1.948190485156E-04   1.985125223087E-01
     166   1.918360745683E-04   1.954729956979E-01
     167   1.889593783653E-04   1.925417616963E-01
     168   1.867201498132E-04   1.902600807657E-01
     169   1.835163067117E-04   1.869954976564E-01
     170   1.796699806336E-04   1.830762510673E-01
     171   1.756630427006E-04   1.789933476660E-01
     172   1.718628497466E-04   1.751211088152E-01
     173   1.686925632947E-04   1.718907185386E-01
     174   1.649468679564E-04   1.680740104956E-01
     175   1.617844370119E-04   1.648516246550E-01
     176   1.597054795745E-04   1.627332533365E-01
     177   1.587728078888E-04   1.617828996097E-01
     178   1.580815807530E-04   1.610785678553E-01
     179   1.580957843199E-04   1.610930407003E-01
     180   1.583868414903E-04   1.613896158734E-01
     181   1.591248363449E-04   1.621416019916E-01
     182   1.602478525673E-04   1.632859088989E-01
     183   1.610189671485E-04   1.640716426435E-01
     184   1.608028891830E-04   1.638514681674E-01
     185   1.604119782082E-04   1.634531461132E-01
     186   1.600255011356E-04   1.630593420212E-01
     187   1.596409678457E-04   1.626675185631E-01
     188   1.593481751173E-04   1.623691749285E-01
     189   1.599422161696E-04   1.629744780985E-01
     190   1.604709401995E-04   1.635132259344E-01
     191   1.603776329067E-04   1.634181496768E-01
     192   1.605543453430E-04   1.635982123130E-01
     193   1.608349251756E-04   1.638841115138E-01
     194   1.599269261100E-04   1.629588981625E-01
     195   1.596695193202E-04   1.626966113303E-01
     196   1.600871527344E-04   1.631221624408E-01
     197   1.601133138717E-04   1.631488195536E-01
     198   1.595979750572E-04   1.626237106965E-01
     199   1.595927052750E-04   1.626183410073E-01
     200   1.603337172451E-04   1.633734014409E-01
     201   1.613778963546E-04   1.644373766031E-01
     202   1.621762078280E-04   1.652508228518E-01
     203   1.630846937917E-04   1.661765323320E-01
     204   1.636683274392E-04   1.667712307886E-01
     205   1.645665189049E-04   1.676864506027E-01
     206   1.660893764787E-04   1.692381792473E-01
     207   1.675985258902E-04   1.707759398436E-01
     208   1.690602431364E-04   1.722653690327E-01
     209   1.701425911828E-04   1.733682367571E-01
     210   1.708277233510E-04   1.740663579925E-01
     211   1.711931088588E-04   1.744386706555E-01
     212   1.716374347906E-04   1.748914203333E-01
     213   1.716810362383E-04   1.749358483984E-01
     214   1.724142434711E-04   1.756829561287E-01
     215   1.722441422881E-04   1.755096300852E-01
     216   1.715421645118E-04   1.747943438745E-01
     217   1.710702406930E-04   1.743134730956E-01
     218   1.704454565552E-04   1.736768439978E-01
     219   1.693553204460E-04   1.725660405607E-01
     220   1.671985857666E-04   1.703684174616E-01
     221   1.646372026213E-04   1.677584743752E-01
     222   1.615353370060E-04   1.645978020906E-01
     223   1.582453632565E-04   1.612454554268E-01
     224   1.560987294719E-04   1.590581247202E-01
     225   1.543071575586E-04   1.572325873196E-01
     226   1.527062170448E-04   1.556012954008E-01
     227   1.513680689788E-04   1.542377780763E-01
     228   1.510051404083E-04   1.538679689303E-01
     229   1.498831994467E-04   1.527247576691E-01
     230   1.477763653194E-04   1.505779811609E-01
     231   1.454380846935E-04   1.481953702794E-01
     232   1.445991029235E-04   1.473404826871E-01
     233   1.447327727900E-04   1.474766867315E-01
     234   1.452911749833E-04   1.480456753839E-01
     235   1.468919188680E-04   1.496767669457E-01
     236   1.480506562609E-04   1.508574722429E-01
     237   1.489581313812E-04   1.517821517156E-01
     238   1.493992825984E-04   1.522316664910E-01
     239   1.492199700904E-04   1.520489544898E-01
     240   1.493189960730E-04   1.521498578549E-01
     241   1.488960781959E-04   1.517189220959E-01
     242   1.478126651545E-04   1.506149691858E-01
     243   1.473227624678E-04   1.501157786870E-01
     244   1.457718705565E-04   1.485354842163E-01
     245   1.441213912107E-04   1.468537142845E-01
     246   1.416911111750E-04   1.443773598238E-01
     247   1.389284523242E-04   1.415623251497E-01
     248   1.365598669689E-04   1.391488350071E-01
     249   1.336729315284E-04   1.362071676476E-01
     250   1.303902165400E-04   1.328622173599E-01
     251   1.273502918793E-04   1.297646603365E-01
     252   1.242861604262E-04   1.266424375966E-01
     253   1.216452320292E-04   1.239514412012E-01
     254   1.190071215788E-04   1.212633161763E-01
     255   1.173099539064E-04   1.195339727779E-01
     256   1.165194292825E-04   1.187284610057E-01
     257   1.163745683317E-04   1.185808537108E-01
     258   1.163557621698E-04   1.185616910126E-01
     259   1.159007311314E-04   1.180980332756E-01
     260   1.154422987733E-04   1.176309097350E-01
     261   1.152699510268E-04   1.174552945365E-01
     262   1.142370025134E-04   1.164027628855E-01
     263   1.133074676211E-04   1.154556054208E-01
     264   1.125752319684E-04   1.147094876903E-01
     265   1.106374732042E-04   1.127349919578E-01
     266   1.083094944097E-04   1.103628782149E-01
     267   1.065595963799E-04   1.085798047714E-01
     268   1.043533940063E-04   1.063317761457E-01
     269   1.019352982608E-04   1.038678369709E-01
     270   9.932684973426E-05   1.012099362150E-01
     271   9.705618426032E-05   9.889622236624E-02
     272   9.501286535932E-05   9.681416523677E-02
     273   9.239285362946E-05   9.414448205673E-02
     274   8.979369347845E-05   9.149604576987E-02
     275   8.678572550782E-05   8.843105128692E-02
     276   8.460566588377E-05   8.620966103760E-02
     277   8.279191235441E-05   8.436152149117E-02
     278   8.028507265778E-05   8.180715591454E-02
     279   7.866145871588E-05   8.015276071387E-02
     280   7.798806391943E-05   7.946659937302E-02
     281   7.649002276609E-05   7.794015763060E-02
     282   7.477130381419E-05   7.618885437314E-02
     283   7.347552203296E-05   7.486850653388E-02
     284   7.130753879229E-05   7.265942161786E-02
     285   6.949957581461E-05   7.081718240319E-02
     286   6.680974699346E-05   6.807635850566E-02
     287   6.343340941507E-05   6.463601068569E-02
     288   6.051560192702E-05   6.166288599137E-02
     289   5.721145822145E-05   5.829610073058E-02
     290   5.487912191074E-05   5.591954685950E-02
     291   5.270093332768E-05   5.370006312327E-02
     292   4.988776727085E-05   5.083356370306E-02
     293   4.682780717228E-05   4.771559140026E-02
     294   4.276244062583E-05   4.357315166761E-02
     295   3.897512299033E-05   3.971403223174E-02
     296   3.588646173388E-05   3.656681464061E-02
     297   3.226185747301E-05   3.287349337824E-02
     298   3.065694630012E-05   3.123815552273E-02
     299   2.870050502733E-05   2.924462308958E-02
     300   2.739727632107E-05   2.791668714289E-02
     301   2.581595700084E-05   2.630538840580E-02
     302   2.402750777235E-05   2.448303289142E-02
     303   2.307546949285E-05   2.351294540953E-02
     304   2.160265248185E-05   2.201220602095E-02
     305   1.976336875142E-05   2.013805225955E-02
     306   1.896447412877E-05   1.932401180606E-02
     307   1.788794764885E-05   1.822707601621E-02
     308   1.686019026834E-05   1.717983391396E-02
     309   1.664980548480E-05   1.696546055388E-02
     310   1.707635438729E-05   1.740009617688E-02
     311   1.806027837520E-05   1.840267387186E-02
     312   1.966938591818E-05   2.004228765427E-02
     313   2.168212565018E-05   2.209318588006E-02
     314   2.386689040968E-05   2.431937046707E-02
     315   2.640674176179E-05   2.690737355012E-02
     316   2.915876661719E-05   2.971157262442E-02
     317   3.184733072294E-05   3.245110782945E-02
     318   3.501560436858E-05   3.567944713997E-02
     319   3.792995347083E-05   3.864904788274E-02
     320   3.882014947359E-05   3.955612065207E-02
     321   3.967665588547E-05   4.042886512697E-02
     322   3.998143931669E-05   4.073942678996E-02
     323   4.013407491531E-05   4.089495612812E-02
     324   3.936281663235E-05   4.010907595742E-02
     325   3.890501537613E-05   3.964259548345E-02
     326   3.868938009576E-05   3.942287208510E-02
     327   3.999369052177E-05   4.075191025931E-02
     328   4.075875466821E-05   4.153147886205E-02
     329   4.112171496549E-05   4.190132033627E-02
     330   4.111888721949E-05   4.189843898049E-02
     331   4.008264666587E-05   4.084255287704E-02
     332   3.843931622048E-05   3.916806737787E-02
     333   3.723740609042E-05   3.794337085397E-02
     334   3.595428969022E-05   3.663592851216E-02
     335   3.464186676210E-05   3.529862403510E-02
     336   3.382519882772E-05   3.446647331484E-02
     337   3.326217084218E-05   3.389277117230E-02
     338   3.339249195737E-05   3.402556297826E-02
     339   3.236362181555E-05   3.297718701843E-02
     340   3.135549677591E-05   3.194994945646E-02
     341   3.066096638171E-05   3.124225181898E-02
     342   2.985967820811E-05   3.042577243644E-02
     343   3.004918658236E-05   3.061887360215E-02
     344   3.085394145233E-05   3.143888540436E-02
     345   3.316024682507E-05   3.378891483036E-02
     346   3.550904363585E-05   3.618224126764E-02
     347   3.743544620392E-05   3.814516550777E-02
     348   3.943239828307E-05   4.017997677074E-02
     349   4.252148145693E-05   4.332762427819E-02
     350   4.526260685755E-05   4.612071726057E-02
     351   4.797950391348E-05   4.888912256557E-02
     352   4.961942706838E-05   5.056013617719E-02
     353   5.116982063297E-05   5.213992285320E-02
     354   5.292206134402E-05   5.392538339155E-02
     355   5.352495066413E-05   5.453970257912E-02
     356   5.437097121924E-05   5.540176240129E-02
     357   5.460752405101E-05   5.564279991611E-02
     358   5.402487991571E-05   5.504910973136E-02
     359   5.306775692628E-05   5.407384114115E-02
