# lag   C(lag)   C_norm(lag)
     203   1.680496348329E+01   4.383418935012E-02
     204   1.520478088242E+01   3.966026137989E-02
     205   1.444937503726E+01   3.768985526232E-02
     206   1.527920160257E+01   3.985438092927E-02
     207   1.751023459907E+01   4.567382367379E-02
     208   2.020990405341E+01   5.271566117389E-02
     209   2.245491719092E+01   5.857156982022E-02
     210   2.397548565499E+01   6.253783169516E-02
     211   2.511392085991E+01   6.550733438913E-02
     212   2.627258708482E+01   6.852960782320E-02
     213   2.753313725036E+01   7.181763607132E-02
     214   2.870708860472E+01   7.487977934856E-02
     215   2.963329080747E+01   7.729569193130E-02
     216   3.039271955928E+01   7.927659142793E-02
     217   3.114145909349E+01   8.122960909139E-02
     218   3.176204696030E+01   8.284835501065E-02
     219   3.183035960148E+01   8.302654220229E-02
     220   3.092880969439E+01   8.067493284740E-02
     221   2.890343780293E+01   7.539193802963E-02
     222   2.596789936076E+01   6.773485814092E-02
     223   2.272726796200E+01   5.928197155843E-02
     224   1.993988702408E+01   5.201134678468E-02
     225   1.812455040196E+01   4.727620949579E-02
     226   1.748193055029E+01   4.559999518646E-02
     227   1.809193791250E+01   4.719114284036E-02
     228   1.989417010689E+01   5.189209844435E-02
     229   2.254949119207E+01   5.881825733478E-02
     230   2.552501681913E+01   6.657964008830E-02
     231   2.827747605502E+01   7.375917483969E-02
     232   3.033280500796E+01   7.912030987516E-02
     233   3.134836831237E+01   8.176931260742E-02
     234   3.114410484153E+01   8.123651027988E-02
     235   2.962417857892E+01   7.727192352788E-02
     236   2.683825942431E+01   7.000511168039E-02
     237   2.326442646809E+01   6.068309972453E-02
     238   1.996498736979E+01   5.207681870954E-02
     239   1.823775453993E+01   4.757149199515E-02
     240   1.887201856594E+01   4.922591090785E-02
     241   2.163312010302E+01   5.642798830074E-02
     242   2.541273187398E+01   6.628675521819E-02
     243   2.882233673210E+01   7.518039340483E-02
     244   3.074463940913E+01   8.019454173171E-02
     245   3.058484389337E+01   7.977772994262E-02
     246   2.826038375751E+01   7.371459116617E-02
     247   2.421196697194E+01   6.315467128755E-02
     248   1.950677610561E+01   5.088161710519E-02
     249   1.560425942293E+01   4.070226411933E-02
     250   1.363884461278E+01   3.557566178992E-02
     251   1.378262547453E+01   3.595070083863E-02
     252   1.526161087331E+01   3.980849714272E-02
     253   1.695509884209E+01   4.422580351531E-02
     254   1.807924857198E+01   4.715804387196E-02
     255   1.845640482720E+01   4.814182099962E-02
     256   1.823300847405E+01   4.755911232227E-02
     257   1.739651002863E+01   4.537718367460E-02
     258   1.563031019909E+01   4.077021515394E-02
     259   1.272395924865E+01   3.318926813157E-02
     260   9.124374023983E+00   2.380008377085E-02
     261   5.995529351668E+00   1.563878250116E-02
     262   4.621791370154E+00   1.205551432810E-02
     263   5.652072498072E+00   1.474290713856E-02
     264   8.762581169226E+00   2.285638064905E-02
     265   1.284609754749E+01   3.350785456134E-02
     266   1.656313255081E+01   4.320339578156E-02
     267   1.895604490165E+01   4.944508581494E-02
     268   1.967413245203E+01   5.131815062013E-02
     269   1.876199575212E+01   4.893892659761E-02
     270   1.649472864769E+01   4.302497054162E-02
     271   1.350386456479E+01   3.522357884799E-02
     272   1.076817732918E+01   2.808779230448E-02
     273   9.237070803187E+00   2.409404287191E-02
